shadowsocks=192.168.1.1:33501, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 01
shadowsocks=192.168.1.1:33502, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 02
shadowsocks=192.168.1.1:33503, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 03
shadowsocks=192.168.1.1:33504, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 04
shadowsocks=192.168.1.1:33505, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 05
shadowsocks=192.168.1.1:33506, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 06
shadowsocks=192.168.1.1:33507, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 07
shadowsocks=192.168.1.1:33508, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 08
shadowsocks=192.168.1.1:33509, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 09
shadowsocks=192.168.1.1:33510, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 10
shadowsocks=192.168.1.1:33511, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 11
shadowsocks=192.168.1.1:33512, method=aes-128-gcm, password=88888888, obfs=http, obfs-host=www.example.com, fast-open=true, udp-relay=true, tag=🇭🇰 HKG 12
